facility,facility_name,betweenness,pagerank,clustering_coeff,in_degree,out_degree,weighted_in_degree,weighted_out_degree,in_legs,in_excess_minutes,in_late_legs,out_legs,out_excess_minutes,out_late_legs,legs_touched,late_legs_touched,excess_minutes_touched,sla_contribution_pct,betweenness_score,weighted_in_degree_score,weighted_out_degree_score,excess_minutes_touched_score,chokepoint_score
IND803213AAA,Barh_Malahi_D (Bihar),0.0,0.00017023117673190812,0.0,0,1,0,3,0.0,0.0,0.0,5.0,87.90995129870132,2.0,5.0,2.0,87.90995129870132,0.016026989052323495,0.0,0.0,0.003911342894393742,0.002659975424335182,0.001447262434962544
IND600056AAA,Chennai_Poonamallee (Tamil Nadu),0.0,0.00017023117673190812,0.0,0,1,0,4,2.0,37.814285714285724,1.0,4.0,14.837037037037042,3.0,6.0,4.0,52.651322751322766,0.009598938013952318,0.0,0.0,0.005215123859191656,0.001593121398752582,0.0014413051215264767
IND495677AAA,Korba_Tilknagr_DC (Chhattisgarh),0.0,0.00017023117673190812,0.0,0,1,0,5,0.0,0.0,0.0,5.0,11.007207207207216,1.0,5.0,1.0,11.007207207207216,0.002006739701255783,0.0,0.0,0.00651890482398957,0.00033305558960273053,0.0013870448621985968
IND275101AAA,Mau_BaliaMod_D (Uttar Pradesh),0.0,0.0004379594628337477,0.0,1,0,3,0,3.0,42.637931034482776,3.0,2.0,24.957142857142856,2.0,5.0,5.0,67.59507389162563,0.012323354674274355,0.0,0.004366812227074236,0.0,0.0020452887608470452,0.0013846846356266084
IND751014AAA,Bhubaneswar_BjbNgr_DC (Orissa),0.0,0.00017023117673190812,0.0,0,1,0,4,0.0,0.0,0.0,4.0,42.57142857142858,2.0,4.0,2.0,42.57142857142858,0.007761258078027589,0.0,0.0,0.005215123859191656,0.0012881244057805945,0.0013650558732834798
IND752056AAA,Khurdha_MdhsnDPP_D (Orissa),0.0,0.00024258554855921527,0.0,1,0,4,0,5.0,24.426250812215727,2.0,1.0,0.0,0.0,6.0,2.0,24.426250812215727,0.004453184748408257,0.0,0.005822416302765648,0.0,0.000739088418424604,0.0013492553651592806
IND573103AAA,Arsikere_HsnRdDPP_D (Karnataka),0.0,0.0003182070830408716,0.0,1,0,3,0,3.0,61.679062500000015,3.0,4.0,0.0,0.0,7.0,3.0,61.679062500000015,0.011244798169506897,0.0,0.004366812227074236,0.0,0.0018662823494074382,0.0013399330327667066
IND811105AAA,Sheikhpura_Bgwtichk_D (Bihar),0.0,0.0003149399203865224,0.0,1,0,3,0,3.0,42.08125000000001,1.0,2.0,19.34475218658895,1.0,5.0,2.0,61.42600218658896,0.01119866238154774,0.0,0.004366812227074236,0.0,0.0018586252616192675,0.001338018760819664
IND734203AAA,Kurseong_ABPath_D (West Bengal),0.0,0.0004379594628337477,0.0,1,0,3,0,3.0,61.03750000000001,3.0,0.0,0.0,0.0,3.0,3.0,61.03750000000001,0.011127833991823028,0.0,0.004366812227074236,0.0,0.0018468699796135278,0.0013350799403182292
IND144601AAA,Kapurthala_DC (Punjab),0.0,0.000345274006827762,0.0,1,0,3,0,3.0,60.641015625000016,3.0,3.0,0.0,0.0,6.0,3.0,60.641015625000016,0.01105555035790369,0.0,0.004366812227074236,0.0,0.001834873172903336,0.0013320807386406812
