source_center,destination_center,leg_count,median_delay_ratio,mean_delay_ratio,p75_delay_ratio,median_actual_minutes,median_osrm_minutes,median_osrm_km,total_excess_minutes,late_rate,ftl_share
IND515201AAA,IND515134AAA,3,1.6065573770491803,2.1503642987249543,2.4672131147540983,98.0,61.0,64.1522,73.05000000000001,0.3333333333333333,0.0
IND515201AAA,IND515301AAA,11,2.6818181818181817,2.7022483445408345,3.024703557312253,59.0,22.0,31.2836,28.323437500000026,0.36363636363636365,0.0
IND515301AAA,IND561202AAB,12,1.7573529411764706,1.867204520697168,1.9264705882352942,29.5,17.0,17.44555,11.745588235294143,0.25,0.0
IND515401AAB,IND515801AAA,14,2.3861283643892337,2.7273269548093837,2.6623641304347827,51.5,22.0,30.637700000000002,93.5526315789474,0.2857142857142857,1.0
IND515591AAA,IND516269AAA,8,1.6307692307692307,1.6961538461538461,1.7615384615384615,106.0,65.0,71.40445,0.0,0.0,1.0
IND515671AAA,IND515134AAA,7,1.4166666666666667,1.535954381752701,1.590873015873016,51.0,36.0,37.7623,5.10486111111112,0.14285714285714285,1.0
IND515761AAA,IND515004AAA,14,1.7641509433962264,1.7843459774726622,1.885989010989011,93.5,53.0,57.643249999999995,8.391658391261188,0.07142857142857142,1.0
IND515801AAA,IND515865AAB,13,1.5842696629213484,1.626402055906124,1.735632183908046,138.0,87.0,103.616,0.0,0.0,1.0
IND515865AAB,IND515761AAA,13,1.696969696969697,1.6843968531468532,1.75,55.0,33.0,40.6439,0.0,0.0,1.0
IND516101AAA,IND516115AAA,12,2.511904761904762,2.579345238095238,2.6346153846153846,64.0,26.0,36.4729,32.507142857142895,0.16666666666666666,0.0
IND516115AAA,IND517501AAB,11,2.2388059701492535,2.482589730043637,2.466966637401229,150.0,67.0,90.2466,136.77238805970154,0.2727272727272727,0.0
IND516269AAA,IND516390AAA,9,1.5921052631578947,1.6774853801169591,1.6933333333333334,121.0,75.0,82.7305,13.116306390977456,0.1111111111111111,1.0
IND516390AAA,IND515004AAA,9,1.9651162790697674,1.972027450839278,2.0352941176470587,169.0,85.0,98.7011,0.0,0.0,1.0
IND517501AAB,IND517583AAA,13,2.1538461538461537,2.1821948279640586,2.32,56.0,26.0,34.7185,4.733333333333334,0.07692307692307693,0.0
IND517501AAB,IND517644AAA,12,2.447619047619048,2.4247681006664643,2.5802556818181817,77.0,32.0,39.274750000000004,5.871596638655461,0.16666666666666666,1.0
IND517583AAA,IND516101AAA,13,2.152173913043478,2.18143427263455,2.2083333333333335,103.0,48.0,68.3377,0.0,0.0,0.0
